RES_ID,RESPONSE,LABEL
TRB1,Karena orang berpikir bahwa jika disumbangkan akan membuat produksi pakaian menjadi lebih beretika,1
TRB2,"Pakaian awet adalah alternatif terhadap Fast Fashion. Pakaian awet lebih mahal biaya produksi dan harga belinya, tetapi karena pakaian itu dibuat untuk bertahan lebih lama, maka yang dibuat pun menjadi lebih sedikit. Kita sebagai konsumen harus menolak tren Fast Fashion dan membeli pakaian yang lebih awet dan dibuat sesuai etika.",0
TRB3,karna orang lebih suka menyumbang,1
TRB4,karana harga nya terjangkau dan pas.,0
TRB5,kerena harganya mahal .,0
TRB6,agar orang yg memerlukan juga bisa mempunyai baju seperti kita,0
TRB7,Karena melihat kondisi para pegawai,0
TRB8,karena dia kasihan,1
TRB9,karena memiliki pakaian yang melebihi atau sudah tidak layak dipakai pribadi,0
TRB10,"karna mereka prihatin dengan para pekerja yang bekerja di sebuah pabrik pakaian ,karna pabrik pakaian tersebut sudah ingin bangkrut",1
TRB11,KARENA MENYUMBANG ITU HARUS DI LAKUKAN KARENA WAJIB DAN AKAN MENDAPATKAN YANG LEBIH UNTUK ORANG YANG MENYUMBANG,1
TRB12,mereka memilih untuk menyumbang karena mereka ingin memakai pakaian yang ber etika,1
TRB13,"? karena kegiatan menyumbang lebih utama dan termasuk hal yang diwajibkan untuk orang ada,sedangkan membeli pakaian tidak terlalu perlu asal kita sudah mempunyai pakaian yang cukup",1
TRB14,karena orang orang masih peduli terhadap sesama,1
TRB15,karena kondisi di sebuah pabrik pakaian yang sangat mengejutkan,1
TRB16,karena dari pada dibuang lebih baik disumbangkan ke masyarakat yang tidak mampu [miskin],1
TRB17,karena mungkin mereka sadar bahwa banyak orang yang penghasilan nya sedikit dan kerja banting tulang hanya untuk makan sehari-hari.,1
TRB18,karena menyumbang itu lebih bermanfaat dari pada di buang,0
TRB19,karena dari pada pakaian di buang lebih baik di sumbangkan,1
TRB20,karena menyumbang itu sama denga sodaqoh juga itu bagi yg mampu dan hatinya ikhlas,0
TRB21,"karna kondisi pekerja sangat memungkinkan,",1
TRB22,karna sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,0
TRB23,karna menyumbang suatu hal yang sangat bagus dan membarikan amal,1
TRB24,karena lebih banyak konsumen yang menyumbang akan menjadi hemat dengan masalah keuangan dan akan membuat produksi pakaian menjadi lebih beretika.,1
TRB25,karena mengetahui kondisi kerja di sebuah pabrik pakaian,1
TRB26,karena pakaian yang tidak dipakai lagi lebih baik disumbangkan dari pada dibuang di tempat sampah.,0
TRB27,karena dia tidak mau bererja,0
TRB28,karena jika banyak yang tidak terpakai akan mubasir,0
TRB29,karena t sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.,1
TRB30,karena yang tak terpakai lebih beretika,0
TRB31,Karena lebih yakin dalam menyumbangkan uangnya setelah melihat gambar yang ditampilkan perusahaan tersebut,1
TRB32,karena kalo sumumbangkan lebih berguna ketika dibuang begtu saja maka dari itu orang memilih lebh banyak disumbangkan,0
TRB33,karena melihat kondisi kerja yang buruk di sebuah pabrik para konsumen lebih memilih menyumbang daripada membelinya dengan harga 2 Euro.,1
TRB34,karena konsumen lebih memilih membuat prodeuksi pakaian lebih beretika daripada harus melanjutkan pembelian,1
TRB35,karena menyumbang dapat membantu pakir miskin yang sangat membutuhkan dan mendapat pahala,0
TRB36,"ksarena dengan menyumbang, kita dapat membantu pabrik yang telah dalam masalah tersebut, agar dapat beroperasi dengan baik lagi",1
TRB37,untuk membuat toko tersebut lebih bagus lagi dan lebih complete,0
TRB38,karena bnyak yang membutuh kan,0
TRB39,Karena membuat produksi pakaian menjadi lebih beretika.,1
TRB40,karena dapat bermanfaat bagi sesama dan sesuai dengan etika pakaian sehingga dapat mengurangi smapah lingkungan dan polusi,1
TRB41,sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika,1
TRB42,karena mungkin menurut mereka lebih jika disumbang untuk membuat produksi pakaian menjadi lebih beretika daripada membeli dipabrik pakaian yang tidak berprinsip pakaian beretika,1
TRB43,karena itu akan membantu para masyarakat yang kekurangan pakaian dan lebih bermanfaat daripada membuangnya secara cuma cuma,1
TRB44,karna sudah bosan dipakai dan lebih baik dipakai dengan orang lain,0
TRB45,karena mereka ingin upaya untuk membuat produksi pakaian menjadi lebih beretika,1
TRB46,"karena mereka melihat tentang kondisi kerja di sebuah pabrik pakaian,sehingga mereka berpikir dengan menyumbang mereka dapat memperbaiki keadaan tersebut",1
TRB47,karena harga pakaian termasuk kategori murah dan mereka mengetahui kondisi kerja di sebuah pabrik terseebut,0
TRB48,upaya untuk membuat produksi pakaian menjadi lebih beretika.,1
TRB49,agar pabrik pakaian semakin baik dan dapat memproduksi pakaian yang baik pula untuk mereka.,1
TRB50,Agar pakaiannya bisa berguna bagi orang yang membutuhkan daripada harus dibuang lebih baik disumbangkan,0
TRB51,mereka kasihan dengan kondisi pabrik pakaian,1
TRB52,karena menurut mereka jika mereka bisa menyumbangkan 2 euro tersebut mereka berharap kondisi parik tersebut bisa diperbaiki,1
TRB53,karena dengan menyumbang kita akan mendapat pahala dan lebih bermanfaat,1
TRB54,agar pakaian bisa dibuat sesuai etika,0
TRB55,"karena Setelahnya, konsumen diberi pilihan apakah akan melanjutkan pembelian atau menyumbangkan 2 Euro tersebut sebagai upaya untuk membuat produksi pakaian menjadi lebih beretika.",1
TRB56,karena mungkin mereka hanya peduli pada orang yang lebih membutuhkan dan karena mungkin sebagian orang tidak mampu,0
TRB57,karna kasihan terhadap kondisi para pekerja,0
TRB58,"karna lebih baik menyumbang daripada yang disumbang,menyumbang kita dapat pahala atau rizki dari allah",0
TRB59,karna untuk sedekah,0
