RES_ID,RESPONSE,LABEL
TRA1,intetraksi/beradaptasi terhadap lingkungan yang baru.,1
TRA2,seperti jatuhnya meteor tsunami gempa bumi,0
TRA3,hanya tuhan yang tahu tantangan nya itu apaan,0
TRA4,mereka akan sulit beradaptasi,1
TRA5,"Tempat tinggal, ekonomi, dan pekerjaan",1
TRA6,akan terganggu dengan kesehatanya karena merekanperlu beradaptasi dengan lingkungan yang baru.,1
TRA7,Mereka tidak akan di hormati oleh orang layaknya mereka di hormati di dalam tempat tinggal mereka yang lama,0
TRA8,mereka akan kehilangan lahan pertanian.,1
TRA9,"Pada kasus-kasus seperti salah satunya yang terjadi di Travina, warga mungkin dipaksa untuk menjadi ""pengungsi iklim”. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.",0
TRA10,mendapat musibah dan melawannya,0
TRA11,karena mereka butuh tempat tinggal baru,1
TRA12,Akan kehilangan tempat tinggal yang lama atau komunitas karena bencana alam.,0
TRA13,mereka akan pindah ke tempat yang dulu,0
TRA14,beradaptasi,1
TRA15,Pengungsi iklim ini orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0
TRA16,karna mereka tidak mau terkena iklim yang sangat beser,0
TRA17,keadaan yg tidak memadai serta kurangnya fasilitas di tempat pengungsian kegiatan jadi tidak dapat dilakukan seperti biasanya maknanya mereka tidak bebas melakukan sesuatu,1
TRA18,Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.,0
TRA19,fkjgrioejtklejtdfljlkgr,0
TRA20,merasa aneh,0
TRA21,satu tantangan yang akan dihadapi pengungsi adalah kehilangan pekerjaan mereka yaitu pekerjaan bertani atau nelayan dan itulah salah satu pencaharian mereka selama menetap di Travina.,1
TRA22,akan terjadinya perubahan tempat,0
TRA23,"karena,akan ada bencana alam yang akan datang",0
TRA24,Mereka perlu adaptasi dan harus rela berpisah dengan tembat lamanya yang kemungkinan lahan tersebut akan hilang,1
TRA25,"tidak terjamin dengan semua kebutuhannya, dan sulit untuk beradaptasi dengan tempat baru",1
TRA26,orang-orang yang trpaksa meninggalkan komunitas atau negaranya karna bercanda lingkungan,0
TRA27,Mereka tidak akan mudah menyesuaikan hidup mereka di tempat baru,1
TRA28,mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka,1
TRA29,tidak mempunyai tempat yang tetap,1
TRA30,"masalah yang dapatdidapatkan oleh pengngungsi itu adalah penggunaan bahasa, dan pencarian lapangan kerja, tempat tinggal.",1
TRA31,mereka akan kehilangan lahan pertanian sektor pariwisata dan perikanan dan tempat tinggal mereka.,1
TRA32,penderitaan panas nya cuaca iklim,0
TRA33,Warga di Travina akan mengalami bencana yang besar dan disebabkan oleh perubahan iklim .,0
TRA34,"MEREKA AKAN MENINGGALKAN NEGARANYA, DAN MEREKA AKAN MENJADI PUENGUNGSI YANG MEMBUTUHKAN BANTUAN DARI NEGARA LAIN, MEREKA JUGA MEMBUTUHKAN NEGARA MANA YANG HARUS MENJADI PENGUNGSI",0
TRA35,tantanganya adalah mereka harus beradapatsi lagi dengan lingkungan barunya.,1
TRA36,akan terjadi lama proses adaptasi yang dilakukan oleh para pengunsi iklim tersebut.,1
TRA37,komunitas dan negara,0
